year,month,gear,ocean,lon,lat,tonnes
1965,4,LL,Indian,140,-40,2
1965,4,LL,Indian,145,-45,2
1965,4,LL,Indian,145,-40,86
1965,4,LL,Pacific,-180,-40,1
1965,4,LL,Pacific,150,-45,3
1965,4,LL,Pacific,150,-40,29
1965,4,LL,Pacific,175,-40,26
1965,4,LL,Pacific,175,-35,5
1965,4,SURF,Indian,NA,NA,"1,327"
1965,5,LL,Atlantic,15,-30,0
1965,5,LL,Indian,105,-25,4
1965,5,LL,Indian,115,-10,3
1965,5,LL,Indian,115,-5,0
1965,5,LL,Indian,120,-10,4
1965,5,LL,Indian,145,-45,8
1965,5,LL,Indian,145,-40,73
1965,5,LL,Indian,145,-35,3
1965,5,LL,Pacific,-180,-40,8
1965,5,LL,Pacific,150,-40,133
1965,5,LL,Pacific,150,-35,162
1965,5,LL,Pacific,150,-30,1
1965,5,LL,Pacific,155,-30,0
1965,5,LL,Pacific,175,-40,95
1965,5,LL,Pacific,175,-35,2
1965,5,SURF,Indian,NA,NA,44
1965,6,LL,Atlantic,10,-30,0
1965,6,LL,Indian,60,0,0
1965,6,LL,Indian,80,0,0
1965,6,LL,Indian,115,-10,3
1965,6,LL,Indian,145,-45,1
1965,6,LL,Indian,145,-40,122
1965,6,LL,Indian,145,-35,6
1965,6,LL,Pacific,NA,NA,0
1965,6,LL,Pacific,-180,-40,47
1965,6,LL,Pacific,-180,-35,351
1965,6,LL,Pacific,150,-40,371
1965,6,LL,Pacific,150,-35,524
1965,6,LL,Pacific,150,-30,0
1965,6,LL,Pacific,155,-35,13
1965,6,LL,Pacific,155,-30,0
1965,6,LL,Pacific,175,-40,91
1965,6,LL,Pacific,175,-35,109
1965,7,LL,Atlantic,10,-30,1
1965,7,LL,Atlantic,15,-35,1
1965,7,LL,Atlantic,15,-30,3
1965,7,LL,Indian,20,-35,4
1965,7,LL,Indian,30,-30,0
1965,7,LL,Indian,35,-30,0
1965,7,LL,Indian,45,-20,0
1965,7,LL,Indian,90,0,0
1965,7,LL,Indian,110,-20,3
1965,7,LL,Indian,110,-15,2
1965,7,LL,Indian,115,-10,2
1965,7,LL,Indian,115,-5,1
1965,7,LL,Indian,145,-40,1
1965,7,LL,Pacific,-180,-35,278
1965,7,LL,Pacific,150,-40,3
1965,7,LL,Pacific,150,-35,"1,922"
1965,7,LL,Pacific,150,-30,302
1965,7,LL,Pacific,155,-35,40
1965,7,LL,Pacific,155,-30,5
1965,7,LL,Pacific,170,-35,36
1965,7,LL,Pacific,175,-35,649
1965,7,LL,Pacific,175,-30,36
1965,8,LL,Indian,20,-35,4
1965,8,LL,Indian,25,-35,0
1965,8,LL,Indian,25,-30,18
1965,8,LL,Indian,30,-30,0
1965,8,LL,Indian,35,-30,0
1965,8,LL,Indian,45,-25,0
1965,8,LL,Indian,50,-25,0
1965,8,LL,Indian,105,-30,0
1965,8,LL,Indian,105,-25,1
1965,8,LL,Indian,110,-20,2
1965,8,LL,Indian,110,-15,33
1965,8,LL,Indian,110,-10,0
1965,8,LL,Indian,115,-10,0
1965,8,LL,Indian,120,-10,0
1965,8,LL,Pacific,-180,-35,59
1965,8,LL,Pacific,-180,-30,41
1965,8,LL,Pacific,120,-5,0
1965,8,LL,Pacific,150,-35,"1,820"
1965,8,LL,Pacific,150,-30,257
1965,8,LL,Pacific,155,-35,1
1965,8,LL,Pacific,155,-30,4
1965,8,LL,Pacific,175,-35,9
1965,8,LL,Pacific,175,-30,132
1965,9,LL,Atlantic,-25,-30,0
1965,9,LL,Indian,20,-35,0
1965,9,LL,Indian,45,-30,0
1965,9,LL,Indian,50,-30,0
1965,9,LL,Indian,50,-25,1
1965,9,LL,Indian,55,-30,1
1965,9,LL,Indian,55,-25,1
1965,9,LL,Indian,100,-25,35
1965,9,LL,Indian,100,-20,1
1965,9,LL,Indian,105,-35,3
1965,9,LL,Indian,105,-30,0
1965,9,LL,Indian,105,-25,322
1965,9,LL,Indian,105,-20,5
1965,9,LL,Indian,105,-15,11
1965,9,LL,Indian,110,-20,0
1965,9,LL,Indian,110,-15,633
1965,9,LL,Indian,110,-10,16
1965,9,LL,Indian,115,-15,173
1965,9,LL,Indian,115,-10,24
1965,9,LL,Indian,115,-5,0
1965,9,LL,Indian,120,-15,1
1965,9,LL,Indian,120,-10,6
1965,9,LL,Indian,145,-40,2
1965,9,LL,Pacific,-180,-35,169
1965,9,LL,Pacific,-180,-30,207
1965,9,LL,Pacific,120,-5,0
1965,9,LL,Pacific,150,-35,725
1965,9,LL,Pacific,150,-30,11
1965,9,LL,Pacific,155,-35,"1,122"
1965,9,LL,Pacific,155,-30,5
1965,9,LL,Pacific,160,-35,67
1965,9,LL,Pacific,160,-30,2
1965,9,LL,Pacific,170,-30,2
1965,9,LL,Pacific,175,-35,27
1965,9,LL,Pacific,175,-30,144
1965,10,LL,Atlantic,-55,-40,0
1965,10,LL,Atlantic,-45,-30,2
1965,10,LL,Atlantic,-35,-30,1
1965,10,LL,Atlantic,-30,-30,1
1965,10,LL,Atlantic,-25,-30,0
1965,10,LL,Atlantic,-15,-30,0
1965,10,LL,Atlantic,0,-30,0
1965,10,LL,Atlantic,15,-35,1
1965,10,LL,Indian,20,-35,1
1965,10,LL,Indian,55,-30,2
1965,10,LL,Indian,95,-25,2
1965,10,LL,Indian,100,-25,321
1965,10,LL,Indian,100,-20,192
1965,10,LL,Indian,100,-5,0
1965,10,LL,Indian,105,-25,"1,179"
1965,10,LL,Indian,105,-20,358
1965,10,LL,Indian,105,-15,0
1965,10,LL,Indian,110,-25,2
1965,10,LL,Indian,110,-15,427
1965,10,LL,Indian,110,-10,1
1965,10,LL,Indian,110,-5,0
1965,10,LL,Indian,115,-15,97
1965,10,LL,Indian,115,-10,21
1965,10,LL,Indian,115,-5,0
1965,10,LL,Indian,120,-15,0
1965,10,LL,Indian,120,-10,10
1965,10,LL,Indian,145,-40,171
1965,10,LL,Pacific,-180,-35,49
1965,10,LL,Pacific,-180,-30,125
1965,10,LL,Pacific,120,-5,0
1965,10,LL,Pacific,150,-40,10
1965,10,LL,Pacific,150,-35,255
1965,10,LL,Pacific,150,-30,17
1965,10,LL,Pacific,155,-35,545
1965,10,LL,Pacific,155,-30,7
1965,10,LL,Pacific,160,-35,47
1965,10,LL,Pacific,160,-30,2
1965,10,LL,Pacific,170,-30,4
1965,10,LL,Pacific,175,-35,153
1965,10,LL,Pacific,175,-30,549
1965,10,SURF,Pacific,NA,NA,216
1965,11,LL,Atlantic,-55,-40,1
1965,11,LL,Atlantic,-45,-30,0
1965,11,LL,Atlantic,-40,-30,2
1965,11,LL,Atlantic,-30,-30,0
1965,11,LL,Atlantic,-25,-30,0
1965,11,LL,Atlantic,-15,-30,0
1965,11,LL,Atlantic,-10,-30,0
1965,11,LL,Indian,45,-25,0
1965,11,LL,Indian,90,-25,0
1965,11,LL,Indian,95,-30,0
1965,11,LL,Indian,95,-25,34
1965,11,LL,Indian,95,-20,15
1965,11,LL,Indian,95,-15,1
1965,11,LL,Indian,95,-5,5
1965,11,LL,Indian,100,-25,396
1965,11,LL,Indian,100,-20,179
1965,11,LL,Indian,100,-15,2
1965,11,LL,Indian,100,-10,0
1965,11,LL,Indian,105,-30,2
1965,11,LL,Indian,105,-25,837
1965,11,LL,Indian,105,-20,294
1965,11,LL,Indian,105,-15,1
1965,11,LL,Indian,105,-10,0
1965,11,LL,Indian,110,-30,0
1965,11,LL,Indian,110,-25,7
1965,11,LL,Indian,110,-20,9
1965,11,LL,Indian,110,-15,67
1965,11,LL,Indian,115,-15,83
1965,11,LL,Indian,115,-10,10
1965,11,LL,Indian,115,-5,0
1965,11,LL,Indian,120,-10,1
1965,11,LL,Indian,140,-45,3
1965,11,LL,Indian,140,-40,13
1965,11,LL,Indian,145,-45,75
1965,11,LL,Indian,145,-40,887
1965,11,LL,Pacific,-180,-40,3
1965,11,LL,Pacific,-180,-35,186
1965,11,LL,Pacific,-180,-30,22
1965,11,LL,Pacific,175,-40,10
1965,11,LL,Pacific,175,-35,518
1965,11,LL,Pacific,175,-30,16
1965,11,SURF,Pacific,NA,NA,388
1965,12,LL,Indian,85,-5,0
1965,12,LL,Indian,90,-30,8
1965,12,LL,Indian,90,-25,48
1965,12,LL,Indian,90,-20,0
1965,12,LL,Indian,95,-30,50
1965,12,LL,Indian,95,-25,295
1965,12,LL,Indian,95,-20,8
1965,12,LL,Indian,95,-10,0
1965,12,LL,Indian,100,-30,3
1965,12,LL,Indian,100,-25,855
1965,12,LL,Indian,100,-20,31
1965,12,LL,Indian,105,-30,11
1965,12,LL,Indian,105,-25,633
1965,12,LL,Indian,105,-20,321
1965,12,LL,Indian,105,-15,1
1965,12,LL,Indian,105,-10,0
1965,12,LL,Indian,110,-35,0
1965,12,LL,Indian,110,-30,1
1965,12,LL,Indian,110,-25,0
1965,12,LL,Indian,110,-15,18
1965,12,LL,Indian,110,-10,1
1965,12,LL,Indian,110,-5,0
1965,12,LL,Indian,115,-35,1
1965,12,LL,Indian,115,-15,21
1965,12,LL,Indian,115,-10,2
1965,12,LL,Indian,115,-5,0
1965,12,LL,Indian,120,-10,1
1965,12,LL,Indian,140,-45,8
1965,12,LL,Indian,145,-45,653
1965,12,LL,Indian,145,-40,439
1965,12,LL,Indian,145,-35,5
1965,12,LL,Pacific,175,-35,4
1965,12,SURF,Pacific,NA,NA,"1,499"
1966,NA,LL,Indian,NA,NA,4
1966,1,LL,Indian,90,-30,20
1966,1,LL,Indian,90,-25,294
1966,1,LL,Indian,90,-20,4
1966,1,LL,Indian,95,-30,147
1966,1,LL,Indian,95,-25,"1,052"
1966,1,LL,Indian,95,-20,113
1966,1,LL,Indian,95,-10,1
1966,1,LL,Indian,95,-5,4
1966,1,LL,Indian,100,-30,20
1966,1,LL,Indian,100,-25,"1,076"
1966,1,LL,Indian,100,-20,132
1966,1,LL,Indian,100,-15,0
1966,1,LL,Indian,100,-10,8
1966,1,LL,Indian,100,-5,16
1966,1,LL,Indian,105,-25,985
1966,1,LL,Indian,105,-20,113
1966,1,LL,Indian,105,-10,0
1966,1,LL,Indian,105,-5,0
1966,1,LL,Indian,110,-15,1
1966,1,LL,Indian,110,-10,2
1966,1,LL,Indian,110,-5,0
1966,1,LL,Indian,115,-15,34
1966,1,LL,Indian,115,-10,45
1966,1,LL,Indian,120,-10,27
1966,1,LL,Indian,125,-45,4
1966,1,LL,Indian,125,-40,0
1966,1,LL,Indian,140,-45,57
1966,1,LL,Indian,140,-40,4
1966,1,LL,Indian,145,-45,385
1966,1,LL,Indian,145,-40,28
1966,1,LL,Pacific,-180,-45,0
1966,1,LL,Pacific,125,-5,0
1966,1,SURF,Indian,NA,NA,95
1966,1,SURF,Pacific,NA,NA,178
1966,2,LL,Indian,90,-25,142
1966,2,LL,Indian,90,-10,0
1966,2,LL,Indian,95,-30,11
1966,2,LL,Indian,95,-25,811
1966,2,LL,Indian,95,-20,20
1966,2,LL,Indian,95,-10,6
1966,2,LL,Indian,95,-5,13
1966,2,LL,Indian,100,-35,0
1966,2,LL,Indian,100,-25,539
1966,2,LL,Indian,100,-20,1
1966,2,LL,Indian,100,-10,9
1966,2,LL,Indian,100,-5,10
1966,2,LL,Indian,105,-30,10
1966,2,LL,Indian,105,-25,"1,013"
1966,2,LL,Indian,105,-20,14
1966,2,LL,Indian,110,-15,2
1966,2,LL,Indian,110,-10,8
1966,2,LL,Indian,115,-35,0
1966,2,LL,Indian,115,-15,84
1966,2,LL,Indian,115,-10,81
1966,2,LL,Indian,120,-15,20
1966,2,LL,Indian,120,-10,85
1966,2,LL,Indian,125,-45,111
1966,2,LL,Indian,125,-40,0
1966,2,LL,Indian,130,-45,47
1966,2,LL,Indian,135,-45,11
1966,2,LL,Indian,135,-40,1
1966,2,LL,Indian,140,-45,71
1966,2,LL,Indian,140,-40,2
1966,2,LL,Indian,145,-45,20
1966,2,LL,Indian,145,-40,1
1966,2,LL,Pacific,120,-5,0
1966,2,LL,Pacific,125,-5,0
1966,2,LL,Pacific,160,-45,0
1966,2,SURF,Indian,NA,NA,"2,504"
1966,3,LL,Indian,20,-35,0
1966,3,LL,Indian,90,-25,1
1966,3,LL,Indian,90,-20,1
1966,3,LL,Indian,95,-45,13
1966,3,LL,Indian,95,-25,54
1966,3,LL,Indian,95,-20,3
1966,3,LL,Indian,95,-10,0
1966,3,LL,Indian,95,-5,1
1966,3,LL,Indian,100,-45,59
1966,3,LL,Indian,100,-40,11
1966,3,LL,Indian,100,-30,4
1966,3,LL,Indian,100,-25,22
1966,3,LL,Indian,100,-10,0
1966,3,LL,Indian,100,-5,1
1966,3,LL,Indian,105,-45,38
1966,3,LL,Indian,105,-40,6
1966,3,LL,Indian,105,-30,10
1966,3,LL,Indian,105,-25,883
1966,3,LL,Indian,105,-20,150
1966,3,LL,Indian,105,-5,1
1966,3,LL,Indian,110,-30,14
1966,3,LL,Indian,110,-25,15
1966,3,LL,Indian,110,-15,3
1966,3,LL,Indian,110,-10,25
1966,3,LL,Indian,115,-45,2
1966,3,LL,Indian,115,-15,32
1966,3,LL,Indian,115,-10,46
1966,3,LL,Indian,115,-5,1
1966,3,LL,Indian,120,-45,18
1966,3,LL,Indian,120,-15,19
1966,3,LL,Indian,120,-10,60
1966,3,LL,Indian,125,-45,54
1966,3,LL,Indian,130,-45,14
1966,3,LL,Indian,135,-45,191
1966,3,LL,Indian,140,-50,10
1966,3,LL,Indian,140,-45,589
1966,3,LL,Indian,145,-45,1
1966,3,LL,Pacific,120,-5,0
1966,3,LL,Pacific,150,-10,0
1966,3,LL,Pacific,155,-30,0
1966,3,LL,Pacific,155,-20,0
1966,3,LL,Pacific,160,-30,0
1966,3,SURF,Indian,NA,NA,"2,294"
1966,4,LL,Indian,95,-45,2
1966,4,LL,Indian,95,-40,5
1966,4,LL,Indian,100,-45,23
1966,4,LL,Indian,100,-40,3
1966,4,LL,Indian,100,-10,1
1966,4,LL,Indian,100,-5,0
1966,4,LL,Indian,105,-45,1
1966,4,LL,Indian,105,-30,9
1966,4,LL,Indian,105,-25,143
1966,4,LL,Indian,105,-20,8
1966,4,LL,Indian,105,-10,1
1966,4,LL,Indian,110,-10,8
1966,4,LL,Indian,115,-40,7
1966,4,LL,Indian,115,-10,19
1966,4,LL,Indian,115,-5,1
1966,4,LL,Indian,120,-15,5
1966,4,LL,Indian,120,-10,10
1966,4,LL,Indian,125,-45,2
1966,4,LL,Indian,135,-45,514
1966,4,LL,Indian,140,-45,"1,006"
1966,4,LL,Indian,145,-45,40
1966,4,LL,Indian,145,-40,1
1966,4,LL,Pacific,120,-5,0
1966,4,LL,Pacific,150,-45,1
1966,4,LL,Pacific,150,-40,1
1966,4,LL,Pacific,150,-35,0
1966,4,LL,Pacific,155,-30,0
1966,4,LL,Pacific,155,0,0
1966,4,LL,Pacific,175,-40,1
1966,4,SURF,Indian,NA,NA,990
1966,5,LL,Indian,95,-45,18
1966,5,LL,Indian,95,-40,9
1966,5,LL,Indian,100,-45,7
1966,5,LL,Indian,100,-40,37
1966,5,LL,Indian,100,-10,0
1966,5,LL,Indian,110,-10,0
1966,5,LL,Indian,115,-10,2
1966,5,LL,Indian,120,-40,2
1966,5,LL,Indian,120,-10,5
1966,5,LL,Indian,130,-45,2
1966,5,LL,Indian,135,-45,123
1966,5,LL,Indian,135,-40,1
1966,5,LL,Indian,140,-45,532
1966,5,LL,Indian,145,-45,118
1966,5,LL,Indian,145,-40,63
1966,5,LL,Pacific,-180,-40,32
1966,5,LL,Pacific,-180,-35,14
1966,5,LL,Pacific,150,-45,5
1966,5,LL,Pacific,150,-40,3
1966,5,LL,Pacific,150,-30,1
1966,5,LL,Pacific,150,-5,0
1966,5,LL,Pacific,155,-30,0
1966,5,LL,Pacific,170,-40,2
1966,5,LL,Pacific,175,-45,2
1966,5,LL,Pacific,175,-40,120
1966,5,LL,Pacific,175,-35,26
1966,6,LL,Indian,20,-35,2
1966,6,LL,Indian,30,-25,0
1966,6,LL,Indian,40,-30,0
1966,6,LL,Indian,95,-45,5
1966,6,LL,Indian,95,-40,17
1966,6,LL,Indian,100,-45,2
1966,6,LL,Indian,100,-40,13
1966,6,LL,Indian,105,-45,2
1966,6,LL,Indian,110,-10,0
1966,6,LL,Indian,115,-10,1
1966,6,LL,Indian,120,-35,0
1966,6,LL,Indian,120,-10,0
1966,6,LL,Indian,125,-30,14
1966,6,LL,Indian,135,-40,1
1966,6,LL,Indian,145,-45,15
1966,6,LL,Indian,145,-40,317
1966,6,LL,Indian,145,-35,0
1966,6,LL,Pacific,-180,-40,2
1966,6,LL,Pacific,-180,-35,609
1966,6,LL,Pacific,-180,-30,0
1966,6,LL,Pacific,-115,-10,0
1966,6,LL,Pacific,150,-40,19
1966,6,LL,Pacific,150,-35,"1,164"
1966,6,LL,Pacific,150,-30,6
1966,6,LL,Pacific,150,-25,0
1966,6,LL,Pacific,155,-35,8
1966,6,LL,Pacific,155,-30,20
1966,6,LL,Pacific,160,-5,0
1966,6,LL,Pacific,165,-35,2
1966,6,LL,Pacific,175,-40,90
1966,6,LL,Pacific,175,-35,603
1966,7,LL,Indian,30,-30,2
1966,7,LL,Indian,30,-25,0
1966,7,LL,Indian,35,-30,0
1966,7,LL,Indian,35,-25,0
1966,7,LL,Indian,55,-30,1
1966,7,LL,Indian,100,-10,0
1966,7,LL,Indian,105,-10,1
1966,7,LL,Indian,125,-30,15
1966,7,LL,Indian,145,-40,30
1966,7,LL,Indian,145,-35,3
1966,7,LL,Pacific,-180,-35,32
1966,7,LL,Pacific,-180,-30,0
1966,7,LL,Pacific,-175,-35,1
1966,7,LL,Pacific,-170,-25,0
1966,7,LL,Pacific,-160,-25,0
1966,7,LL,Pacific,150,-40,2
1966,7,LL,Pacific,150,-35,"3,201"
1966,7,LL,Pacific,150,-30,524
1966,7,LL,Pacific,150,-25,11
1966,7,LL,Pacific,155,-35,345
1966,7,LL,Pacific,155,-30,4
1966,7,LL,Pacific,155,-25,43
1966,7,LL,Pacific,155,-20,0
1966,7,LL,Pacific,155,-5,0
1966,7,LL,Pacific,155,0,0
1966,7,LL,Pacific,160,-25,6
1966,7,LL,Pacific,160,-10,0
1966,7,LL,Pacific,160,0,0
1966,7,LL,Pacific,165,0,0
1966,7,LL,Pacific,170,0,0
1966,7,LL,Pacific,175,-35,"1,183"
1966,7,LL,Pacific,175,-30,53
1966,8,LL,Indian,20,-35,1
1966,8,LL,Indian,25,-30,1
1966,8,LL,Indian,30,-30,0
1966,8,LL,Indian,30,-25,0
1966,8,LL,Indian,45,-30,0
1966,8,LL,Indian,50,-30,0
1966,8,LL,Indian,50,-25,0
1966,8,LL,Indian,55,-30,1
1966,8,LL,Indian,55,-25,0
1966,8,LL,Indian,60,-10,0
1966,8,LL,Indian,110,-10,3
1966,8,LL,Indian,115,-10,13
1966,8,LL,Indian,115,-5,1
1966,8,LL,Indian,135,-40,0
1966,8,LL,Indian,140,-40,1
1966,8,LL,Indian,145,-45,11
1966,8,LL,Indian,145,-40,71
1966,8,LL,Indian,145,-35,3
1966,8,LL,Pacific,-180,-35,1
1966,8,LL,Pacific,-180,-30,1
1966,8,LL,Pacific,-170,-25,0
1966,8,LL,Pacific,-165,-25,3
1966,8,LL,Pacific,-160,-25,2
1966,8,LL,Pacific,-155,-35,1
1966,8,LL,Pacific,125,-5,0
1966,8,LL,Pacific,150,-45,1
1966,8,LL,Pacific,150,-40,1
1966,8,LL,Pacific,150,-35,"1,567"
1966,8,LL,Pacific,150,-30,344
1966,8,LL,Pacific,150,-25,0
1966,8,LL,Pacific,155,-45,1
1966,8,LL,Pacific,155,-35,154
1966,8,LL,Pacific,155,-30,144
1966,8,LL,Pacific,155,-25,17
1966,8,LL,Pacific,160,-35,1
1966,8,LL,Pacific,160,-25,2
1966,8,LL,Pacific,160,-20,0
1966,8,LL,Pacific,165,0,0
1966,8,LL,Pacific,170,-30,3
1966,8,LL,Pacific,170,-25,20
1966,8,LL,Pacific,170,-5,0
1966,8,LL,Pacific,175,-40,1
1966,8,LL,Pacific,175,-35,302
1966,8,LL,Pacific,175,-30,76
1966,8,LL,Pacific,175,-25,12
1966,8,LL,Pacific,175,-20,0
1966,9,LL,Indian,20,-35,1
1966,9,LL,Indian,25,-35,2
1966,9,LL,Indian,25,-30,0
1966,9,LL,Indian,50,-30,12
1966,9,LL,Indian,50,-25,0
1966,9,LL,Indian,55,-30,14
1966,9,LL,Indian,60,-25,0
1966,9,LL,Indian,100,-40,20
1966,9,LL,Indian,100,-35,19
1966,9,LL,Indian,100,-25,3
1966,9,LL,Indian,105,-40,2
1966,9,LL,Indian,105,-20,3
1966,9,LL,Indian,105,-15,2
1966,9,LL,Indian,105,-10,14
1966,9,LL,Indian,110,-40,0
1966,9,LL,Indian,110,-15,429
1966,9,LL,Indian,110,-10,124
1966,9,LL,Indian,110,-5,0
1966,9,LL,Indian,115,-15,3
1966,9,LL,Indian,115,-10,6
1966,9,LL,Indian,115,-5,6
1966,9,LL,Indian,120,-10,1
1966,9,LL,Indian,130,-45,0
1966,9,LL,Indian,135,-35,3
1966,9,LL,Indian,140,-40,4
1966,9,LL,Indian,145,-45,26
1966,9,LL,Indian,145,-40,348
1966,9,LL,Indian,145,-35,0
1966,9,LL,Pacific,-180,-30,0
1966,9,LL,Pacific,-180,-25,19
1966,9,LL,Pacific,-175,-25,0
1966,9,LL,Pacific,-170,-25,0
1966,9,LL,Pacific,-165,-25,0
1966,9,LL,Pacific,-160,-25,0
1966,9,LL,Pacific,-110,-10,1
1966,9,LL,Pacific,120,-5,0
1966,9,LL,Pacific,125,-5,0
1966,9,LL,Pacific,150,-40,3
1966,9,LL,Pacific,150,-35,700
1966,9,LL,Pacific,150,-30,63
1966,9,LL,Pacific,150,-25,2
1966,9,LL,Pacific,155,-40,0
1966,9,LL,Pacific,155,-35,164
1966,9,LL,Pacific,155,-30,538
1966,9,LL,Pacific,155,-25,0
1966,9,LL,Pacific,160,-35,2
1966,9,LL,Pacific,160,-30,1
1966,9,LL,Pacific,165,-25,0
1966,9,LL,Pacific,170,-30,6
1966,9,LL,Pacific,170,-25,4
1966,9,LL,Pacific,175,-35,13
1966,9,LL,Pacific,175,-30,76
1966,9,LL,Pacific,175,-25,106
1966,9,LL,Pacific,175,0,0
1966,9,SURF,Pacific,NA,NA,26
1966,10,LL,Indian,20,-35,2
1966,10,LL,Indian,90,-25,0
1966,10,LL,Indian,95,-25,238
1966,10,LL,Indian,100,-40,70
1966,10,LL,Indian,100,-35,13
1966,10,LL,Indian,100,-25,"1,525"
1966,10,LL,Indian,100,-20,1
1966,10,LL,Indian,105,-35,2
1966,10,LL,Indian,105,-30,2
1966,10,LL,Indian,105,-25,"1,007"
1966,10,LL,Indian,105,-20,0
1966,10,LL,Indian,105,-15,7
1966,10,LL,Indian,105,-10,54
1966,10,LL,Indian,110,-40,1
1966,10,LL,Indian,110,-20,7
1966,10,LL,Indian,110,-15,52
1966,10,LL,Indian,110,-10,90
1966,10,LL,Indian,115,-15,2
1966,10,LL,Indian,115,-10,12
1966,10,LL,Indian,115,-5,0
1966,10,LL,Indian,120,-10,9
1966,10,LL,Indian,125,-10,1
1966,10,LL,Indian,140,-45,0
1966,10,LL,Indian,140,-40,5
1966,10,LL,Indian,145,-45,12
1966,10,LL,Indian,145,-40,307
1966,10,LL,Pacific,-180,-30,4
1966,10,LL,Pacific,-180,-25,0
1966,10,LL,Pacific,-175,-35,0
1966,10,LL,Pacific,-175,-30,1
1966,10,LL,Pacific,-175,-25,0
1966,10,LL,Pacific,-110,-10,2
1966,10,LL,Pacific,-105,-5,1
1966,10,LL,Pacific,125,-5,4
1966,10,LL,Pacific,150,-40,1
1966,10,LL,Pacific,150,-35,226
1966,10,LL,Pacific,150,-30,20
1966,10,LL,Pacific,155,-35,117
1966,10,LL,Pacific,155,-30,256
1966,10,LL,Pacific,155,-25,0
1966,10,LL,Pacific,155,-10,0
1966,10,LL,Pacific,160,-35,6
1966,10,LL,Pacific,160,-30,15
1966,10,LL,Pacific,165,-45,3
1966,10,LL,Pacific,165,-30,14
1966,10,LL,Pacific,165,-25,5
1966,10,LL,Pacific,170,-30,45
1966,10,LL,Pacific,170,-25,2
1966,10,LL,Pacific,175,-35,6
1966,10,LL,Pacific,175,-30,31
1966,10,LL,Pacific,175,-25,1
1966,10,SURF,Pacific,NA,NA,157
1966,11,LL,Indian,20,-35,6
1966,11,LL,Indian,20,-30,0
1966,11,LL,Indian,75,-40,15
1966,11,LL,Indian,75,-35,47
1966,11,LL,Indian,80,-35,14
