year,month,gear,ocean,lon,lat,tonnes
1965,NA,LL,Indian,NA,NA,2
1965,1,LL,Atlantic,10,-30,0
1965,1,LL,Atlantic,15,-30,0
1965,1,LL,Indian,40,-15,0
1965,1,LL,Indian,90,-30,170
1965,1,LL,Indian,90,-25,390
1965,1,LL,Indian,95,-30,"1,492"
1965,1,LL,Indian,95,-25,"2,143"
1965,1,LL,Indian,100,-30,169
1965,1,LL,Indian,100,-25,"2,492"
1965,1,LL,Indian,100,-20,45
1965,1,LL,Indian,100,-15,0
1965,1,LL,Indian,100,-10,4
1965,1,LL,Indian,100,-5,3
1965,1,LL,Indian,105,-30,3
1965,1,LL,Indian,105,-25,865
1965,1,LL,Indian,105,-20,53
1965,1,LL,Indian,105,-10,3
1965,1,LL,Indian,105,-5,0
1965,1,LL,Indian,110,-10,1
1965,1,LL,Indian,115,-15,39
1965,1,LL,Indian,115,-10,45
1965,1,LL,Indian,115,-5,0
1965,1,LL,Indian,120,-10,28
1965,1,SURF,Indian,NA,NA,145
1965,1,SURF,Pacific,NA,NA,97
1965,2,LL,Atlantic,15,-30,0
1965,2,LL,Indian,90,-30,119
1965,2,LL,Indian,90,-25,724
1965,2,LL,Indian,95,-30,920
1965,2,LL,Indian,95,-25,"2,332"
1965,2,LL,Indian,95,-20,9
1965,2,LL,Indian,95,-10,0
1965,2,LL,Indian,95,-5,2
1965,2,LL,Indian,100,-30,279
1965,2,LL,Indian,100,-25,774
1965,2,LL,Indian,100,-20,45
1965,2,LL,Indian,100,-10,0
1965,2,LL,Indian,100,-5,3
1965,2,LL,Indian,105,-30,5
1965,2,LL,Indian,105,-25,212
1965,2,LL,Indian,105,-20,8
1965,2,LL,Indian,115,-10,37
1965,2,LL,Indian,120,-15,1
1965,2,LL,Indian,120,-10,17
1965,2,SURF,Indian,NA,NA,"1,392"
1965,3,LL,Atlantic,15,-30,0
1965,3,LL,Indian,90,-30,46
1965,3,LL,Indian,90,-25,85
1965,3,LL,Indian,95,-30,807
1965,3,LL,Indian,95,-25,"1,091"
1965,3,LL,Indian,95,-20,1
1965,3,LL,Indian,95,-10,3
1965,3,LL,Indian,95,-5,0
1965,3,LL,Indian,100,-30,268
1965,3,LL,Indian,100,-25,84
1965,3,LL,Indian,100,-20,67
1965,3,LL,Indian,100,-15,1
1965,3,LL,Indian,100,-10,8
1965,3,LL,Indian,100,-5,0
1965,3,LL,Indian,105,-30,85
1965,3,LL,Indian,105,-25,71
1965,3,LL,Indian,110,-10,2
1965,3,LL,Indian,115,-15,7
1965,3,LL,Indian,115,-10,53
1965,3,LL,Indian,120,-10,4
1965,3,LL,Indian,140,-40,1
1965,3,LL,Indian,145,-45,3
1965,3,LL,Indian,145,-40,2
1965,3,LL,Pacific,150,-45,1
1965,3,LL,Pacific,150,-40,7
1965,3,LL,Pacific,155,-30,0
1965,3,SURF,Indian,NA,NA,"1,767"
1965,4,LL,Atlantic,15,-30,1
1965,4,LL,Indian,100,-30,39
1965,4,LL,Indian,100,-25,105
1965,4,LL,Indian,100,-15,0
1965,4,LL,Indian,100,-10,0
1965,4,LL,Indian,105,-30,34
1965,4,LL,Indian,105,-25,"1,050"
1965,4,LL,Indian,115,-15,1
