"ssvid","min_dist_to_shore_km","year","shipname","best_flag","best_vessel_class","best_tonnage_gt","n_transits"
"538006963",33.61,2020,"FLAG LAMA","MHL","cargo",44027,1
"355179000",34.15,2020,"MSXT OCEANUS","PAN","cargo",7945,1
"371888000",34.24,2021,"GLOBAL BONANZA","PAN","cargo",40341,1
"441413000",34.42,2020,"AGNES101","KOR","squid_jigger",876.333333333333,1
"538003656",34.49,2021,"HOUSTON","MHL","cargo",91407,1
"412420822",34.76,2021,"HUALI17","CHN","squid_jigger",752,1
"412420651",34.82,2021,"RUNDA617","CHN","squid_jigger",731,1
"538006527",35.18,2020,"LADY I","MHL","cargo",39643,1
"538004507",35.47,2021,"YASA EAGLE","MHL","cargo",44557,1
"477203600",35.56,2020,"BBG ENDEAVOR","HKG","cargo",44373,1
"538004530",35.84,2021,"LBC NATURE","MHL","cargo",42744,1
"477213300",36.33,2020,"KING PEACE","HKG","cargo",43445,1
"354929000",36.83,2020,"KANO REEFER","PAN","cargo",93029,1
"352351000",36.84,2021,"AVUNDA REEFER","PAN","specialized_reefer",7313,1
"235068573",36.96,2020,"IMMANUEL SCHULTE","IMN","tanker",18311,1
"311000651",37.3,2021,"ALORA","CHN","cargo",15917.6641610291,1
"111111234",37.59,2021,"KF8007",NA,"gear",557.964654077136,1
"538008627",37.8,2020,"SDTR DORA","CHN","cargo",7216.57375896188,1
"412329638",37.81,2021,"LU RONG YUAN YU 998","CHN","squid_jigger",1593,1
"200006639",37.99,2021,"","CHN","squid_jigger",1593,1
"416146700",38.68,2021,"KAO FONG NO817","TWN","drifting_longlines",448,1
"351522000",38.71,2021,"NAVIOS VENUS","PAN","cargo",34777,1
"412435461",39.51,2020,"OUYA17","CHN","squid_jigger",950,1
"412435469",39.52,2020,"OUYA18","CHN","squid_jigger",950,1
"412420377",39.56,2021,"ZHAN HAI 007","CHN","squid_jigger",948,1
"232008128",39.75,2020,"BERGE PHAN XI PANG","IMN","cargo",23232,1
"232008128",39.75,2021,"BERGE PHAN XI PANG","IMN","cargo",23232,0
"416240500",39.89,2021,"AN FONG NO 111","TWN","squid_jigger",1385,1
"477153800",40.42,2021,"KOTA LAGU","HKG","cargo",39906,1
"477631800",41.44,2021,"XIN HAN","HKG","cargo",44543,1
"431650000",41.68,2020,"SHINSEI MARU NO.8","JPN","set_longlines",1062,1
"356728000",42.51,2021,"DON REEFER","PAN","specialized_reefer",6082,1
"412328741",42.67,2020,"LU RONG YUAN YU 777","CHN","squid_jigger",1494,1
"601524000",43,2020,"SA AMANDLA","ZAF","non_fishing",2899,1
"477198000",43.28,2020,"SAGA SKY","HKG","cargo",29381,1
"370090000",44.15,2021,"NAVIOS VICTORY","PAN","cargo",40937,1
"229609000",44.49,2021,"THALASSINI","MLT","cargo",42887,1
