"ssvid","min_dist_to_shore_km","year","shipname","best_flag","best_vessel_class","best_tonnage_gt","n_transits"
"412420688",3.29,2021,"HUA LI 19","CHN","squid_jigger",950,1
"538002999",6.14,2021,"JOHNNY CASH","MHL","cargo",40198,1
"477410100",6.94,2020,"XIN RONG","HKG","cargo",11950.398973386,1
"538004367",7.05,2020,"MOON GLOBE","MHL","cargo",40485,1
"229623000",7.33,2020,"ANDREAS PETRAKIS","MLT","cargo",41254,1
"356362000",9.15,2021,"MAJESTIC ISLAND","PAN","cargo_or_tanker",43484,1
"636015499",10.06,2021,"TYCOON","LBR","cargo",40562,1
"373158000",10.46,2020,"ASAHI BULKER","PAN","cargo",21483,1
"636019187",11.41,2020,"HONG RUN 6","LBR","cargo",39126,1
"636015288",12.46,2020,"GOOD WISH","CHN","cargo",27884.7094515544,1
"374724000",13.41,2020,"CALYPSO ISLAND","PAN","cargo",47006,1
"351170000",13.81,2020,"SAKIZAYA BRAVE","PAN","cargo_or_tanker",160133,1
"538007456",14.18,2021,"MONDIAL SUCCESS","MHL","cargo",43368,1
"209447000",14.35,2020,"ADRIATICA GRAECA","CYP","cargo",39035,1
"636017169",15.79,2020,"OMICRON SKY","LBR","cargo",40611,1
"371674000",16.12,2020,"PEACE PEARL","PAN","cargo",41541,1
"636017992",16.39,2020,"EPIC TRADER","LBR","cargo",32987,1
"565259000",16.96,2021,"BULK SWEDEN","SGP","cargo",40937,1
"636017368",17.11,2021,"KANG MAY","LBR","cargo",46990,1
"210043000",17.18,2020,"EFRAIM A","CYP","cargo",43024,1
"374155000",17.34,2020,"MEDI OITA","CHN","cargo",11081.5055768724,1
"477434600",17.48,2020,"SHANDONG CHONG WEN","HKG","cargo",41254,1
"354853000",18.52,2021,"HARBOUR WELL","CHN","cargo",38875.5566234306,1
"477230500",18.86,2020,"CSSC YUAN JING","HKG","cargo",9836.94446980604,1
"371397000",19.01,2021,"ZHENG RONG","PAN","cargo",43951,1
"636020274",19.17,2021,"IVESTOS 8","LBR","cargo",40198,1
"538004459",20.03,2020,"ANTWERPIA","MHL","cargo",44113,1
"209854000",20.07,2020,"PEDHOULAS COMMANDER","CYP","cargo",44146,1
"538007343",20.26,2020,"JOHNNY P","MHL","cargo",40121,1
"538007343",20.26,2021,"JOHNNY P","MHL","cargo",40121,1
"636015637",20.36,2020,"JUNIOR","LBR","cargo",51208,1
"548989000",21.06,2021,"LEMAN TRADER","CHN","cargo",17819.4357668722,1
"538004903",21.39,2021,"ATHINOULA","MHL","cargo",43022,1
"412329657",21.57,2020,"LU HUANG YUAN YU 107","CHN","squid_jigger",1655,1
"636019555",22.39,2020,"BULK MUSTIQUE","CHN","cargo",10593.012789821,1
"311000380",22.87,2021,"STAR TRADER","BHS","cargo",43012,1
"412329658",22.9,2020,"LU HUANG YUAN YU 108","CHN","squid_jigger",1655,1
"371584000",23.65,2021,"BLUE CHIP","PAN","cargo",39737,1
"636015794",23.76,2020,"ALTHEA","LBR","cargo",15609,1
"563666000",23.83,2021,"PRABHU YUVIKA","SGP","cargo",39818,1
"412420457",24.01,2021,"HONG DA 2","CHN","squid_jigger",1322,1
"371332000",24.19,2020,"RISING WIND","PAN","cargo",43013,1
"412330931",24.34,2021,"LUPENGYUANYU097","CHN","squid_jigger",1366,1
"311001037",24.4,2021,"STAR DIAMOND","BHS","cargo",6999.28986804975,1
"636017854",24.69,2020,"LAGUNA SECA","CHN","cargo",14696.3380766776,1
"477686600",25.06,2020,"KALIMANTAN EXPRESS","HKG","cargo",54686,1
"563109100",25.11,2021,"NORD SATURN","SGP","cargo",5486.24705562486,1
"412329654",25.54,2021,"LUPENGYUANYU027","CHN","squid_jigger",1408,1
"538007419",25.61,2021,"KMARIN GOTEBORG","PAN","cargo",43673,1
"241404000",25.89,2020,"MARAN GAS ULYSSES","GRC","tanker",113502,1
"636015124",26.26,2020,"ATHINA L","LBR","cargo",44262,1
"416238500",26.32,2021,"LUNG SOON FA NO.1","TWN","squid_jigger",998,1
"636015954",26.85,2020,"ASPASIA LUCK","LBR","cargo",37722,1
"636013148",26.97,2021,"EVEREST BAY","LBR","specialized_reefer",8739,1
"209682000",27.04,2020,"AESCHYLUS GRAECIA","CHN","cargo",11505.2800403164,1
"636018216",27.36,2020,"INTERCEPTOR","CHN","cargo",18145.0381865703,1
"636013612",27.41,2020,"BEIJING 2008","LBR","cargo",43158,1
"210655000",27.49,2020,"ATTIKI SB","CYP","cargo",34345,1
"354281000",27.72,2021,"SHUN YING","PAN","cargo",43990,1
"576990000",27.76,2021,"OCEAN VENTURE 6","VUT","squid_jigger",998.5,1
"440038000",28.7,2020,"SKYMAX 101","KOR","fishing",1219.5,1
"636020065",28.89,2021,"KEY ACTION","CHN","cargo",38185.3589994338,1
"477743200",28.97,2021,"ROSCO POPLAR","HKG","cargo",42647,1
"538005205",28.97,2021,"HALOPHYLA","MHL","cargo",39009,1
"636016708",29.76,2021,"YANGZE 7","LBR","cargo",36426,1
"372161000",29.86,2020,"MARIO","PAN","cargo",1993,1
"212460000",30.08,2021,"KYPROS SPIRIT","CYP","cargo",41759,1
"636011902",30.15,2021,"CHAILEASE GLORY","LBR","cargo",39727,1
"403518000",30.16,2021,"BAHRI WAFI","SAU","cargo",43894,1
"355187000",30.19,2021,"BULK CASTOR","PAN","cargo",38227,1
"538008657",30.32,2020,"PRAIRIE","CHN","cargo",6968.70026184521,1
"636015390",30.32,2021,"CHARIKLIA JUNIOR","LBR","cargo",51208,1
"477686800",30.33,2020,"JOSCO DEZHOU","HKG","cargo",34558,1
"374922000",30.37,2021,"BERGE HALLASAN","PAN","cargo",23749,1
"477162900",30.39,2021,"OCEAN TIANCHEN","HKG","cargo",36415,1
"538005446",30.41,2021,"SEA GEMINI","CHN","cargo",13421.1855788102,1
"416037900",30.62,2021,NA,"TWN","drifting_longlines",704,1
"311054500",30.65,2021,"LYRIC STAR","BHS","cargo",44203,1
"477218100",30.91,2020,"FORTUNE IRIS","PAN","cargo",42665,1
"412331059",31.13,2021,"LU PENG YUAN YU 078","CHN","squid_jigger",1408,2
"356258000",31.29,2021,"SHUN ZE LENG 7","PAN","specialized_reefer",9829,1
"636018003",32.33,2020,"ANAIS","LBR","cargo",40002,1
"636019922",32.47,2020,"TALBOT","CHN","cargo",7825.0709235137,1
"477468600",32.73,2021,"JOSCO YONGZHOU","HKG","cargo",11347.6751987378,1
"477392300",32.99,2020,"DHT PEONY","HKG","tanker",45394.9998648094,1
"373352000",33.4,2020,"CECILIA B","PAN","cargo",43013,1
"538006146",33.41,2021,"SBI RUMBA","MHL","cargo",45200,1
"636019280",33.51,2021,"DOCHUDSON","CHN","cargo",5472.74472039604,1
